file,misclassified
filtered_220182000_20240526_0715-20240526_0729_standardized_10s.csv,3
filtered_219017895_20240525_2250-20240525_2305_standardized_10s.csv,3
filtered_219793000_20240529_2029-20240529_2044_standardized_10s.csv,3
filtered_261004881_20240523_0345-20240523_0400_standardized_10s.csv,3
filtered_219025535_20240526_0007-20240526_0022_standardized_10s.csv,3
filtered_220368000_20240527_1247-20240527_1302_standardized_10s.csv,3
filtered_219025535_20240526_1352-20240526_1407_standardized_10s.csv,3
filtered_311001445_20240525_0100-20240525_0115_standardized_10s.csv,3
filtered_219025535_20240523_0245-20240523_0300_standardized_10s.csv,3
filtered_219010518_20241129_1805-20241129_1820_standardized_10s.csv,3
filtered_220368000_20240525_1617-20240525_1632_standardized_10s.csv,3
filtered_319301000_20240528_1118-20240528_1133_standardized_10s.csv,3
filtered_219000219_20240522_1708-20240522_1722_standardized_10s.csv,3
filtered_219001343_20240527_1934-20240527_1949_standardized_10s.csv,3
filtered_219025535_20240526_1522-20240526_1537_standardized_10s.csv,3
filtered_219001343_20240523_2228-20240523_2243_standardized_10s.csv,3
filtered_231850000_20240528_0300-20240528_0314_standardized_10s.csv,3
filtered_219001343_20240522_0358-20240522_0413_standardized_10s.csv,3
filtered_219017895_20240524_0332-20240524_0347_standardized_10s.csv,3
filtered_219017895_20240524_0247-20240524_0302_standardized_10s.csv,3
filtered_220368000_20240525_1747-20240525_1802_standardized_10s.csv,3
filtered_220329000_20240525_1515-20240525_1530_standardized_10s.csv,3
filtered_232023509_20240527_1338-20240527_1353_standardized_10s.csv,3
filtered_219000219_20240522_2008-20240522_2022_standardized_10s.csv,3
filtered_220225000_20240525_0715-20240525_0730_standardized_10s.csv,3
filtered_219025665_20240522_0000-20240522_0015_standardized_10s.csv,3
filtered_261004881_20240523_1030-20240523_1045_standardized_10s.csv,3
filtered_219024411_20240524_0914-20240524_0929_standardized_10s.csv,3
filtered_219017895_20240527_0450-20240527_0505_standardized_10s.csv,3
filtered_220225000_20240526_1630-20240526_1645_standardized_10s.csv,3
filtered_220225000_20240526_1600-20240526_1615_standardized_10s.csv,3
filtered_219793000_20240522_2257-20240522_2312_standardized_10s.csv,3
filtered_219004203_20240526_0420-20240526_0435_standardized_10s.csv,3
